tweet_id,ArrivalTimestamp,display_name,user_name,user_id,tweet_text,word_count_on_text,hashtags_from_text,hashtags_count,sentiment
1.59E+18,22/11/2022 12:41,baobao,baobao34310860,1.58E+18,"RT @Helia_m00n: Thanks @10KWorldCup @Johnsonweb3eth Airdrop❤️‍🔥 
I’ll give it to the community! Anyone want Brazil?⚽️

To enter:
1. Follow…",19,,0,POSITIVE
1.59E+18,22/11/2022 12:41,Paxwear,paxwear,1.16E+18,"Finally it's here! Upto 50% off! 
Check out https://t.co/8wuNwhZ3tJ 

#BungomaHasDecided #kinoo #uhuru #matiangi #FIFAWorldCup2022 #WorldCup2022 #Iran #USAWAL #SENNED https://t.co/Jro0kwFbpt",19,#BungomaHasDecided #kinoo #uhuru #matiangi #FIFAWorldCup2022 #WorldCup2022 #Iran #USAWAL #SENNED,9,NEUTRAL
1.59E+18,22/11/2022 12:41,DIMAS ARDIANSYAH (SKYDAY),Skyday110,1.49E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,八戒体育/完美体育/HB电子/九州/足球/华体会体育/AOA体育/分分彩/天博,SandyCoverdal14,1.58E+18,Mortimer Thoreau #WorldCup2022 Arlen Barrie Fabian May #德甲 Irma Morgan #体育下注  https://t.co/BANmewoS3T,12,#WorldCup2022 #德甲 #体育下注,3,NEUTRAL
1.59E+18,22/11/2022 12:41,Superlands,lands_lee,1.24E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Hikmat Taufik,HikmatTaufik10,1.19E+18,"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",26,#BitKeep,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Harris iqbal,IqbalHarris,123211755,"RT @Al__Quraan: Hotels in Qatar, during the #WorldCup2022, will feature barcodes where fans can learn about Islam free from stereotypes. ht…",21,"#WorldCup2022,",1,NEUTRAL
1.59E+18,22/11/2022 12:41,Eze Ndi Afikpo 👑,eastwilford1,1.59E+18,"RT @gchahal: WATCH: #BNNQatar Reports

Many Qataris were surprised when Japanese fans who came to watch the #WorldCup2022 #FIFAWorldCup hel…",20,#BNNQatar #WorldCup2022 #FIFAWorldCup,3,NEUTRAL
1.59E+18,22/11/2022 12:41,yilmazercihangir,Cylmzer,1.42E+18,"RT @QudsNen: A Lebanese fan raises a Palestine flag during USA vs. Wales match yesterday 🇵🇸
#FIFAWorldCup 
#WorldCup2022 https://t.co/tfRja…",19,#FIFAWorldCup #WorldCup2022,2,NEUTRAL
1.59E+18,22/11/2022 12:41,highvoltageeee2k3,highvoltageeee,8.80E+17,"RT @gnuseibeh: Qatar World Cup so far:

1. Invited extremist preacher banned from Britain to preach to Muslim fans 🇬🇧 
2. Banned Jewish wor…",24,,0,NEGATIVE
1.59E+18,22/11/2022 12:41,shuvo dada,Bipul190,1.59E+18,RT @BitMart_Futures: Are you getting ready? The #WorldCup2022 is kicking off! Drop your Champion prediction and win up to 100X Futures Fees…,22,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,ラテマエ@インデックス投資 時々 仮想通貨,lattemaestro,1.01E+18,"@TopGoal_NFT Predict Winning team, Argentina
Predict Score, 2-1
Predict Winning team+Score, Argentina (2) - Saudi (1)",16,,0,NEUTRAL
1.59E+18,22/11/2022 12:41,Suga Kookie,TaesTSugaKo0kie,1.14E+18,RT @FahadAlkubaisi: I can’t express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my c…,25,,0,POSITIVE
1.59E+18,22/11/2022 12:41,Dr. Mazwi🏴󠁧󠁢󠁳󠁣󠁴󠁿,DRMaradonaMazwi,1.54E+18,@18Pebbles_18 Worst WC ever,4,,0,NEGATIVE
1.59E+18,22/11/2022 12:41,هەموو ژیناین,zhinakan,1.46E+18,"Isalamic Republic and IRGC have sent armed troops to #Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr and are using Heavy weapons against unarmed civilians to silence their voice. Numbers have been killed and injured.
#WorldCup
#WorldCup2022 
#FIFAWorldCup2022 https://t.co/ntpsc8QbgN",36,"#Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr #WorldCup #WorldCup2022 #FIFAWorldCup2022",8,NEUTRAL
1.59E+18,22/11/2022 12:41,Arif cohh,ArifCohh,1.26E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,may,My031215,1.15E+18,RT @ChinaDaily: Water technology from China's Ningxia comes to #WorldCup2022 https://t.co/muS8JX9nCD,11,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Deny Caknan,DenyCaknan9,1.48E+18,"@binary_x @SecondLiveReal A good project must be given positive input so that it develops and becomes even better
@dani77315988 
@yudi10002 
@Viviadevi1",21,,0,POSITIVE
1.59E+18,22/11/2022 12:41,3DPWYVdXfwZBk8QNhdAYMSJRscy3bxakeG #BTC,Esel2022,1.48E+18,@CryptoFaibik Come Let's join party #worldcup2022 ￼￼We are excited to kickstart @shibawc  ￼ Invite your friends ￼  https://t.co/Px4mtcgwIe #lunc #doge #shib #xrp #qatar2022 #worldcup2022 #btc￼ #shibaworldcup #ftx #fifaworldcup #eth Tg @shibaworldcup_ENG #fwc #whale #ShibaArmy #ftx https://t.co/67k8bCIcln,36,#worldcup2022 #lunc #doge #shib #xrp #qatar2022 #worldcup2022 #btc￼ #shibaworldcup #ftx #fifaworldcup #eth #fwc #whale #ShibaArmy #ftx,16,NEUTRAL
1.59E+18,22/11/2022 12:41,lakshay,Lk00900,1.39E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Md Suhag,mannansheik0,1.47E+18,RT @BitMart_Futures: Are you getting ready? The #WorldCup2022 is kicking off! Drop your Champion prediction and win up to 100X Futures Fees…,22,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Kumar Gaurav #GlazersOut,gauravkumar1508,1528472935,"RT @gnuseibeh: Qatar World Cup so far:

1. Invited extremist preacher banned from Britain to preach to Muslim fans 🇬🇧 
2. Banned Jewish wor…",24,,0,NEGATIVE
1.59E+18,22/11/2022 12:41,Eleus,Eleus19,1.20E+18,RT @BitMart_Futures: Are you getting ready? The #WorldCup2022 is kicking off! Drop your Champion prediction and win up to 100X Futures Fees…,22,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Rohan,Rohan75894750,1.38E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Katherine Sanchez,Katheri58050021,1.41E+18,RT @FahadAlkubaisi: I can’t express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my c…,25,,0,POSITIVE
1.59E+18,22/11/2022 12:41,Cikoyfava,cikoyfava,1.47E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,edina heater,edinaheater,284555006,"@financ1eelvrij 🎴Memecard 🎴
💗NFT Marketplace💗
☑️Presale live :
https://t.co/x2drxaD8iL

https://t.co/B1NXsqDh6O

👑The first NFT marketplace focusing on meme coins👑
❤️Unique membership mechanism❤️
👍 KYC and Audited 👍
🦎Pre listed on COINGECKO!🦎

📱 https://t.co/djuDZ6XEEy",32,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Massoud Star?,Massoud62278957,1.44E+18,"RT @ToshibaTVGlobal: Dedicated to ideal leisure, Toshiba TV’s Mid-field Voice Control cues your voice command from anywhere in the room.…",20,,0,POSITIVE
1.59E+18,22/11/2022 12:42,Zain Bajwa,Zain_BajwaPTI,1.51E+18,"Weldon @qatar
You Slapped the Illuminati &amp; Freemasons the way you're featuring Islam via FIFA World Cup 2022 Keep shining ⭐👌👍👏❤️🇶🇦⚽🏆
 #FIFAWorldCupQatar2022
#FIFAWorldCup    #Qatar2022    #WorldCup2022
#FIFAWorldCupQatar2022",26,#FIFAWorldCupQatar2022 #FIFAWorldCup #Qatar2022 #WorldCup2022 #FIFAWorldCupQatar2022,5,NEUTRAL
1.59E+18,22/11/2022 12:42,arsenpena,arsenpena,1.51E+18,"RT @_sportspredict: We are so hyped to watch today's matches in #FIFAWorldCup 🔥🏆

#ARG vs #SAU🇸🇦
#DEN vs #TUN 
#MEX vs #POL 
#FRA vs #AUS…",25,#FIFAWorldCup #ARG #SAU🇸🇦 #DEN #TUN #MEX #POL #FRA #AUS…,9,POSITIVE
1.59E+18,22/11/2022 12:42,هەموو ژیناین,zhinakan,1.46E+18,"Isalamic Republic and IRGC have sent armed troops to #Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr and are using Heavy weapons against unarmed civilians to silence their voice. Numbers have been killed and injured.
#WorldCup
#WorldCup2022 
#FIFAWorldCup2022 https://t.co/cGKgFfEgDC",36,"#Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr #WorldCup #WorldCup2022 #FIFAWorldCup2022",8,NEUTRAL
1.59E+18,22/11/2022 12:42,Simonkaks,Simonkaks22,1.48E+18,"RT @GalaxyFMUg: Who’s Winning The #WorldCup2022? 

#ZzinaPolls",7,#WorldCup2022? #ZzinaPolls,2,NEUTRAL
1.59E+18,22/11/2022 12:42,Ace,ameeuk,61597657,"RT @gnuseibeh: Qatar World Cup so far:

1. Invited extremist preacher banned from Britain to preach to Muslim fans 🇬🇧 
2. Banned Jewish wor…",24,,0,NEGATIVE
1.59E+18,22/11/2022 12:42,Molverine,tuxedored,456253686,If you want to know what Qatar getting the #FIFAWorldCup was a bad idea and how awful FIFA is you should watch FIFA UNCOVERED on @netflix.  #WorldCup #WorldCup2022 #FIFAWorldCup2022 https://t.co/nck2PYlg4W,30,#FIFAWorldCup #WorldCup #WorldCup2022 #FIFAWorldCup2022,4,NEGATIVE
1.59E+18,22/11/2022 12:42,Turing oracle 🐠,09_hickory,1.55E+18,"RT @twitkalk: @DFB_Team @DFB Today I feel #Quatar2022 
Today I feel moneysexual and morally disabled
Today I like a bald spineless ex-redhe…",22,#Quatar2022,1,NEGATIVE
1.59E+18,22/11/2022 12:42,Superlands,lands_lee,1.24E+18,@TopGoal_NFT Argentina win.     Argentina 3:0 Saudi,6,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Happysnfts,Happysnfts,1.50E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Trâm Phan.lens,Tramphan1998,1.45E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,G Plus,guwahatiplus,1509442818,"FIFA World Cup 2022 schedule for the day!

#FIFAWorldCup2022  #WorldCup2022 @FIFAWorldCup #FIFAWorldCup https://t.co/muT8NzJaWr",13,#FIFAWorldCup2022 #WorldCup2022 #FIFAWorldCup,3,NEUTRAL
1.59E+18,22/11/2022 12:42,开云体育/欧宝/棋牌/彩票/真人百家乐/天博/ETH/必威/万博体育/BTC/欧宝,Maurice59057965,1.57E+18,Hale #WorldCup2022 Spirited #世界杯 Martina #棋牌游戏  https://t.co/iYD6AavnWO,7,#WorldCup2022 #世界杯 #棋牌游戏,3,NEUTRAL
1.59E+18,22/11/2022 12:42,Syhaid,Syhaid1,1.20E+18,"RT @RoadQatar_WC: 🔥🔥🔥$ROAD SUCCESSFUL LISTING ON PANCAKESWAP 🔥🔥🔥
🚀We are happy to announce that $ROAD has successfully listed on PANCAKESWA…",20,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,AFTM Reigns Khartel,reignskhartel11,1.56E+18,"Portugal should expect unexpected
#GOAT𓃵 #goghana #Qatar2022 #FIFAWorldCup2022 #WorldCup2022 #BlackStars https://t.co/tD9xkFDEfR",11,#GOAT𓃵 #goghana #Qatar2022 #FIFAWorldCup2022 #WorldCup2022 #BlackStars,6,NEUTRAL
1.59E+18,22/11/2022 12:42,Mansoreh,mima7273,2888619633,"RT @hosseinbastani: After Piranshahr, it is #Javanrud's turn. After Javanrud, it will be the turn of other cities. When the world is busy w…",24,#Javanrud's,1,NEUTRAL
1.59E+18,22/11/2022 12:42,bao phan,phan2411,1.57E+18,"RT @Helia_m00n: Thanks @10KWorldCup @Johnsonweb3eth Airdrop❤️‍🔥 
I’ll give it to the community! Anyone want Brazil?⚽️

To enter:
1. Follow…",19,,0,POSITIVE
1.59E+18,22/11/2022 12:42,TopGoal.Bsc⚽🎮,momo927731761,1.45E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Suni Prezzo,presido4,123399816,"RT @PEKAY_TV: It was fast 💨😅 Breast is Life , Deborah . Bulaba #WorldCup2022 https://t.co/q7KnxxdVmW",15,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,tom_onch,tom_onch,1.38E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Oguzo Nwali,Jeffriesn,225096756,"RT @wikileaks: Football Legend Eric Cantona reminds football fans: ""Let's not forget Julian Assange. A journalist jailed in England for pub…",21,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Elaheh Khoshnevis,DrKhoshnevis,1.59E+18,"RT @AmnestyIran: As the world's attention is turned to the #ENGIRN game, let's remember the faces of children killed by Iran's security for…",23,#ENGIRN,1,NEGATIVE
1.59E+18,22/11/2022 12:42,Walteri,Gp3HHYNkyTxSIu,1.57E+18,"RT @Shiba_QatarWC: 💫𝐇𝐨𝐥𝐝𝐞𝐫 𝐁𝐞𝐧𝐞𝐟𝐢𝐭𝐬 💫

1/4 Before going public, the Shiba Qatar World Cup will start on a limited scale. Following the pre-…",23,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Sensitive Potato,Profit_PUBG,406089972,"RT @INSIGHTUK2: ""Football as a profession is Haram""

Islamic preacher, Zakir Naik, who inspired some youths to join ISIS also said that #fo…",23,#fo…,1,NEUTRAL
1.59E+18,22/11/2022 12:42,parleyy,syahrullian1,1.57E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,a,ASD6r,1.53E+18,RT @FahadAlkubaisi: I can’t express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my c…,25,,0,POSITIVE
1.59E+18,22/11/2022 12:42,Tanvir Hussain,Taany79,1.59E+18,"@LauraMcAllister @FIFAWorldCup @Cymru Simple, respect their values if you want yours respected, grow up and stop acting like fools, your ok in your own country when you go to others show respect to theirs values if you want respect for yours, its that simple",44,,0,NEGATIVE
1.59E+18,22/11/2022 12:42,Mugisha🇺🇬🇷🇼😡😡 unruly,mugisha634,1.58E+18,"RT @Karin_Boven: Today is ORANGE! 
Matchday for the 🇳🇱 ⚽️ team.🤞🏼🍀🧡🦁 
#NothingLikeOranje 
#WorldCup2022 https://t.co/NaDffo8dVp",14,#NothingLikeOranje #WorldCup2022,2,NEUTRAL
1.59E+18,22/11/2022 12:42,Mirazul Islam,Mirazul36543131,1.56E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Swansea Music Art Digital,SwanseaMAD,81361384,"RT @LauraMcAllister: So, despite fine words from @FIFAWorldCup before event @Cymru rainbow Bucket hats confiscated at stadium, mine include…",19,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Pedro,phmoongg,1.27E+18,"RT @Helia_m00n: Thanks @10KWorldCup @Johnsonweb3eth Airdrop❤️‍🔥 
I’ll give it to the community! Anyone want Brazil?⚽️

To enter:
1. Follow…",19,,0,POSITIVE
1.59E+18,22/11/2022 12:42,Dblezzz 🤜🏿🤛🏿,dblezzz,1.30E+18,"RT @IOTASoccerTeam: Drop SMR address for a chance to win free IOTASoccerTeam (IST) token airdrop!!!🔥
Predict the result of Argentina vs Sau…",22,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Alao Hammed Abiola,Ishojay50,2158511320,"RT @PEKAY_TV: It was fast 💨😅 Breast is Life , Deborah . Bulaba #WorldCup2022 https://t.co/q7KnxxdVmW",15,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Markus Dohmann,markus_dohmann,8.11E+17,RT @ThomasHitz: Infantino has even managed to force the teams not to wear the #OneLove armband. How pathetic?! How about 🌈 laces 🤔? #WorldC…,24,#OneLove #WorldC…,2,NEGATIVE
1.59E+18,22/11/2022 12:42,jnn,jnn57777,1.58E+18,"RT @binary_x: ❓Which team will lift the trophy? 🏆 

⚽Join #WorldCup2022 Result Prediction Campaign!

🏆Predict matches and Share $20000 Priz…",20,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,3DPWYVdXfwZBk8QNhdAYMSJRscy3bxakeG #BTC,Esel2022,1.48E+18,@Yourpop8 Come Let's join party #worldcup2022 ￼￼We are excited to kickstart @shibawc  ￼ Invite your friends ￼  https://t.co/Px4mtcgwIe #lunc #doge #shib #xrp #qatar2022 #worldcup2022 #btc￼ #shibaworldcup #ftx #fifaworldcup #eth Tg @shibaworldcup_ENG #fwc #whale #ShibaArmy #ftx https://t.co/WKt1xugNgC,36,#worldcup2022 #lunc #doge #shib #xrp #qatar2022 #worldcup2022 #btc￼ #shibaworldcup #ftx #fifaworldcup #eth #fwc #whale #ShibaArmy #ftx,16,NEUTRAL
1.59E+18,22/11/2022 12:42,Delia⁷,Amyjayajaya,7.74E+17,RT @FahadAlkubaisi: I can’t express my gratitude and happiness for my participation in the biggest event of all times the World Cup in my c…,25,,0,POSITIVE
1.59E+18,22/11/2022 12:42,هەموو ژیناین,zhinakan,1.46E+18,"Isalamic Republic and IRGC have sent armed troops to #Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr and are using Heavy weapons against unarmed civilians to silence their voice. Numbers have been killed and injured.
#WorldCup
#WorldCup2022 
#FIFAWorldCup2022 https://t.co/dKBOqIMgke",36,"#Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr #WorldCup #WorldCup2022 #FIFAWorldCup2022",8,NEUTRAL
1.59E+18,22/11/2022 12:42,Abby saviola,abby_saviola,2449818876,@WinGoalNFT The SocialFi platform @Andiamofficial integrates #Defi in it platform letting users and creator earn reward for contributing to the ecosystem,21,#Defi,1,NEUTRAL
1.59E+18,22/11/2022 12:42,yasssi,yasssi18215651,1.57E+18,"RT @AmnestyIran: As the world's attention is turned to the #ENGIRN game, let's remember the faces of children killed by Iran's security for…",23,#ENGIRN,1,NEGATIVE
1.59E+18,22/11/2022 12:42,Leesah_Zimbo🍓🫐,leesah_zimbo,1.48E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,gab.ai/IamtheOne #जयश्रीराम 🇮🇳,abdeshmukh,1241714936,"RT @gnuseibeh: Qatar World Cup so far:

1. Invited extremist preacher banned from Britain to preach to Muslim fans 🇬🇧 
2. Banned Jewish wor…",24,,0,NEGATIVE
1.59E+18,22/11/2022 12:42,Syhaid,Syhaid1,1.20E+18,"@RoadQatar_WC I wish this project success sir, and they become one of the best crypto, I am enthusiastic to participate in this and also support it.
@endinkalem 
@Kiwil213
@27Berkah",29,,0,POSITIVE
1.59E+18,22/11/2022 12:42,Crypto Boss,crypto_boss12,1.26E+18,@Shiba_QatarWC Hi guys! I have a proposition! Contact me📩,9,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,John,JLHughes1989,1.58E+18,"This #WorldCup2022 will be known as the worst in history, never again should this sport be allowed to be hosted by Qatar.",22,#WorldCup2022,1,NEGATIVE
1.59E+18,22/11/2022 12:42,For Fun,kaitdd2,1.58E+18,"RT @Helia_m00n: Thanks @10KWorldCup @Johnsonweb3eth Airdrop❤️‍🔥 
I’ll give it to the community! Anyone want Brazil?⚽️

To enter:
1. Follow…",19,,0,POSITIVE
1.59E+18,22/11/2022 12:42,pirasu,pyrever,7.41E+17,"RT @SaitamaAngel: World Cup #Giveaway 

3,333 #CRO  to 3 random winners 🏆

To Enter:
1️⃣ Follow @SaitamaAngel @Little_Bull112
2️⃣ Like &amp; RT…",22,#Giveaway #CRO,2,NEUTRAL
1.59E+18,22/11/2022 12:42,alimuhammad.near,Alimuha12345,9.65E+17,"RT @taskonxyz: 🎉So excited to collaborate w/ @XTexchange, the world's 1st social-infused exchange! Our #giveaway is LIVE now, FREE to WIN B…",22,#giveaway,1,POSITIVE
1.59E+18,22/11/2022 12:42,gab.ai/IamtheOne #जयश्रीराम 🇮🇳,abdeshmukh,1241714936,RT @gnuseibeh: Supporting England all the way but not watching or planning to watch any game. It would be immoral to. #WorldCup2022,22,#WorldCup2022,1,NEGATIVE
1.59E+18,22/11/2022 12:42,hunter,Hunternfft,1.52E+18,"RT @Helia_m00n: Thanks @10KWorldCup @Johnsonweb3eth Airdrop❤️‍🔥 
I’ll give it to the community! Anyone want Brazil?⚽️

To enter:
1. Follow…",19,,0,POSITIVE
1.59E+18,22/11/2022 12:42,Ninni,ninniach,17249816,"RT @twitkalk: Today I feel #Quatar2022 
Today I feel moneysexual and morally disabled
Today I like a bald spineless ex-redhead with no ball…",23,#Quatar2022,1,NEGATIVE
1.59E+18,22/11/2022 12:42,Shadan,ShadanMdi,1.57E+18,"RT @hosseinbastani: After Piranshahr, it is #Javanrud's turn. After Javanrud, it will be the turn of other cities. When the world is busy w…",24,#Javanrud's,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Crown Prosecution Service Wessex,CPSWessex,1.28E+18,"RT @CPSUK: 🏆 With England's #WorldCup2022 campaign kicking off today, it should be a time for people to come together to cheer on their tea…",25,#WorldCup2022,1,POSITIVE
1.59E+18,22/11/2022 12:42,هەموو ژیناین,zhinakan,1.46E+18,"Isalamic Republic and IRGC have sent armed troops to #Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr and are using Heavy weapons against unarmed civilians to silence their voice. Numbers have been killed and injured.
#WorldCup
#WorldCup2022 
#FIFAWorldCup2022 https://t.co/cP5BmWtocR",36,"#Kurdistan, #Mahabad, #JavanRood, #Kermanshah, #Piranshahr #WorldCup #WorldCup2022 #FIFAWorldCup2022",8,NEUTRAL
1.59E+18,22/11/2022 12:42,excess money,_ajegunleboy,3155598946,"RT @PEKAY_TV: It was fast 💨😅 Breast is Life , Deborah . Bulaba #WorldCup2022 https://t.co/q7KnxxdVmW",15,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:42,Sue HJ,iamwinner6161,1.50E+18,Australia home please x fingers crossed https://t.co/VyYzf2w3Mk,7,,0,NEUTRAL
1.59E+18,22/11/2022 12:42,Shahbaz Ali,Shahbaz033432,1.37E+18,@TopGoal_NFT Argentina win 2 goal,5,,0,NEUTRAL
